iter	Passed	Remaining
1529	73455	22564
1530	73500	22515
1531	73543	22466
1532	73590	22418
1533	73640	22370
1534	73686	22321
1535	73734	22273
1536	73784	22226
1537	73833	22178
1538	73882	22131
1539	73928	22082
1540	73977	22034
1541	74025	21986
1542	74075	21939
1543	74121	21890
1544	74170	21843
1545	74215	21794
1546	74260	21745
1547	74309	21697
1548	74356	21649
1549	74403	21601
1550	74451	21552
1551	74496	21504
1552	74552	21458
1553	74598	21409
1554	74644	21361
1555	74687	21311
1556	74735	21263
1557	74786	21216
1558	74832	21168
1559	74876	21118
1560	74924	21071
1561	74972	21022
1562	75020	20975
1563	75068	20926
1564	75115	20878
1565	75161	20830
1566	75203	20780
1567	75256	20733
1568	75306	20686
1569	75355	20638
1570	75401	20590
1571	75448	20542
1572	75500	20495
1573	75548	20447
1574	75594	20398
1575	75641	20350
1576	75682	20300
1577	75730	20252
1578	75786	20206
1579	75843	20160
1580	75905	20116
1581	75975	20074
1582	76025	20027
1583	76087	19982
1584	76164	19942
1585	76225	19897
1586	76277	19850
1587	76336	19805
1588	76391	19759
1589	76454	19714
1590	76508	19668
1591	76557	19620
1592	76604	19572
1593	76653	19523
1594	76708	19477
1595	76760	19430
1596	76807	19382
1597	76855	19334
1598	76902	19285
1599	76952	19238
1600	77000	19189
1601	77046	19141
1602	77095	19093
1603	77138	19044
1604	77195	18998
1605	77245	18950
1606	77295	18903
1607	77341	18854
1608	77391	18806
1609	77442	18759
1610	77492	18711
1611	77548	18665
1612	77602	18618
1613	77652	18571
1614	77711	18525
1615	77761	18477
1616	77806	18429
1617	77858	18381
1618	77907	18333
1619	77958	18286
1620	78007	18238
1621	78057	18190
1622	78111	18144
1623	78161	18096
1624	78204	18047
1625	78246	17997
1626	78289	17948
1627	78345	17901
1628	78387	17852
1629	78433	17803
1630	78477	17754
1631	78526	17706
1632	78580	17660
1633	78630	17612
1634	78674	17563
1635	78719	17514
1636	78772	17467
1637	78824	17420
1638	78872	17372
1639	78918	17323
1640	78965	17275
1641	79015	17227
1642	79077	17182
1643	79127	17134
1644	79180	17087
1645	79224	17038
1646	79272	16990
1647	79329	16944
1648	79379	16896
1649	79431	16849
1650	79479	16800
1651	79526	16752
1652	79578	16705
1653	79621	16656
1654	79668	16607
1655	79713	16558
1656	79762	16510
1657	79819	16464
1658	79866	16416
1659	79917	16368
1660	79965	16320
